Landmark,City,Region,NumberOfCitizens
"Zrenjanin Cultural Center hosts various cultural events, exhibitions, and performances. It plays a significant role in the cultural life of the city.",Zrenjanin,Vojvodina,120000
"Sirmium Archaeological Site is a significant historical site in Sremska Mitrovica, showcasing the remains of the ancient Roman city of Sirmium. It includes impressive ruins and a museum.",Sremska Mitrovica,Vojvodina,80000
"Sremska Mitrovica City Park is a large urban park featuring walking paths, playgrounds, and green spaces. It's a favorite place for relaxation and outdoor activities.",Sremska Mitrovica,Vojvodina,80000
"Museum of Srem houses a collection of archaeological, historical, and ethnographic artifacts. It offers insights into the rich heritage of Sremska Mitrovica and its surroundings.",Sremska Mitrovica,Vojvodina,80000
"St. Stephen's Church is a prominent Serbian Orthodox church in Sremska Mitrovica, known for its beautiful architecture and spiritual significance.",Sremska Mitrovica,Vojvodina,80000
Monument to Fallen Soldiers in Sremska Mitrovica honors the soldiers who fought and died in various wars. It's a place of remembrance and respect.,Sremska Mitrovica,Vojvodina,80000
"Sremska Mitrovica Cultural Center hosts various cultural events, exhibitions, and performances. It plays a significant role in the cultural life of the city.",Sremska Mitrovica,Vojvodina,80000
"City Library in Sremska Mitrovica is a key cultural institution, providing a wide range of books and resources for the community.",Sremska Mitrovica,Vojvodina,80000
Old Bridge over the Sava River is a historic and picturesque bridge connecting Sremska Mitrovica with its surroundings.,Sremska Mitrovica,Vojvodina,80000
"Gradska Plaza Beach on the Sava River is a popular recreational spot in Sremska Mitrovica, offering opportunities for swimming, sunbathing, and outdoor activities.",Sremska Mitrovica,Vojvodina,80000
Monument to the Srem Partisans in Sremska Mitrovica honors the local partisans who fought during World War II. It's a significant historical landmark.,Sremska Mitrovica,Vojvodina,80000
"National Museum Ruma houses a collection of archaeological, historical, and ethnographic artifacts. It offers insights into the rich heritage of Ruma and its surroundings.",Ruma,Vojvodina,54000
"Church of Saint Nicholas is a prominent Serbian Orthodox church in Ruma, known for its beautiful architecture and spiritual significance.",Ruma,Vojvodina,54000
"Borkovačka Lake is a popular recreational area near Ruma, offering opportunities for fishing, boating, and picnicking.",Ruma,Vojvodina,54000
"Ruma Cultural Center hosts various cultural events, exhibitions, and performances. It plays a significant role in the cultural life of the town.",Ruma,Vojvodina,54000
"City Park in Ruma is a large urban park featuring walking paths, playgrounds, and green spaces. It's a favorite place for relaxation and outdoor activities.",Ruma,Vojvodina,54000
Monument to Fallen Soldiers in Ruma honors the soldiers who fought and died in various wars. It's a place of remembrance and respect.,Ruma,Vojvodina,54000
"Ruma Fair is a traditional event that attracts visitors from the region, offering a variety of goods, food, and entertainment.",Ruma,Vojvodina,54000
"Ruma Library is a key cultural institution, providing a wide range of books and resources for the community.",Ruma,Vojvodina,54000
"Cultural-Historical Complex in Ruma includes several historic buildings and sites, reflecting the town's rich cultural and historical heritage.",Ruma,Vojvodina,54000
"Old Church of the Holy Trinity is a historic Serbian Orthodox church in Ruma, known for its beautiful architecture and significant religious role.",Ruma,Vojvodina,54000
