Street,Bus Line,Departure Time,RouteDescription,Route Duration (minutes)
Limani,Bus Line 2,15:44,"The bus passes through the streets: Feješ Klare, Narodnog Fronta, Kralja Milana, Jovana Subotića, Petefi Šandora, Kisacka, Maksima Gorkog, Bulevar cara Lazara, Bulevar kralja Aleksandra. On the way, you can see: Big Shopping Mall, Svetozar Miletić Monument.",50
Salajka,Bus Line 91,12:14,"The bus passes through the streets: Cara Lazara, Aleksandra Vulina, Bulevar cara Lazara, Telep, Braće Čolaković, Kneza Lazara, Svetosavska, Braće Đukić, Feješ Klare, Kraljice Marije. On the way, you can see: Spens Sports Center, University of Novi Sad.",21
Zmaj Jovina,Bus Line 39,7:47,"The bus passes through the streets: Telep, Braće Krkljuš, Nikole Tesle, Sajlovo, Braće Jerković, Bulevar Patrijarha Pavla, Radnički, Klisa. On the way, you can see: University of Novi Sad, Museum of Vojvodina, Svetozar Miletić Monument, Petrovaradin Fortress.",56
Nikole Tesle,Bus Line 56,21:58,"The bus passes through the streets: Zmaj Jovina, Grbavica, Petra Drapšina, Bulevar kralja Petra I, Radnički, Trg Republike, Braće Janjić, Novosadska 2, Partizanska, Pavla Papa. On the way, you can see: Danube Park, Cathedral of Saint George.",29
Majke Jugovića,Bus Line 68,7:32,"The bus passes through the streets: Miše Dimitrijevića, Bulevar Jaše Tomića, Radnički, Omladinska, Žarka Zrenjanina, Nova 2, Braće Ilić, Bulevar Evrope, Vuka Karadžića. On the way, you can see: Strand Beach, Matica Srpska Gallery.",34
Aleksandra Vulina,Bus Line 96,7:17,"The bus passes through the streets: Kneza Mihailova, Njegoševa, Petra Kočića, Braće Krkljuš, Braće Radić. On the way, you can see: Strand Beach, Novi Sad Fair, Museum of Vojvodina, Danube Park.",20
Vuka Karadžića,Bus Line 74,9:39,"The bus passes through the streets: Kneza Pavla, Braće Novaković, Beogradska, Omladinska, Njegoševa, Braće Radić, Bulevar Patrijarha Pavla, Ive Lole Ribara. On the way, you can see: Serbian National Theatre, Limanski Park, Danube River.",33
Vukašinovićeva,Bus Line 68,16:24,"The bus passes through the streets: Cara Lazara, Jovana Cvijića, Svetozara Miletića, Kneza Mihailova, Nova 2, Veternik. On the way, you can see: Strand Beach, Spens Sports Center, Novi Sad Synagogue, Petrovaradin Fortress.",23
Grbavica,Bus Line 62,1:55,"The bus passes through the streets: Bulevar Oslobođenja, Miše Dimitrijevića, Petra Drapšina, Železnička, Kneza Višeslava, Kraljice Marije, Vojvode Mišića, Petefi Šandora, Njegoševa. On the way, you can see: Fruška Gora National Park, Fish Market, Svetozar Miletić Monument, Žeželj Bridge.",25
Vladimira Perića,Bus Line 18,15:54,"The bus passes through the streets: Milana Tepić, Vuka Karadžića, Žarka Zrenjanina, Kraljice Marije, Novosadska. On the way, you can see: University of Novi Sad, Danube River, Petrovaradin Fortress, Limanski Park.",60
Nova 2,Bus Line 14,2:10,"The bus passes through the streets: Telep, Braće Stefanović, Miletićeva, Narodnog Fronta, Novosadska 2. On the way, you can see: Fruška Gora National Park, Matica Srpska Gallery.",29
Majke Jugovića,Bus Line 50,14:49,"The bus passes through the streets: Braće Čolaković, Kneza Miloša, Svetosavska, Bulevar Mihajla Pupina, Pavla Papa, Omladinska, Narodnog Fronta, Milutina Milankovića, Miše Dimitrijevića. On the way, you can see: Spens Sports Center, Limanski Park.",49
Kralja Aleksandra,Bus Line 39,0:42,"The bus passes through the streets: Bulevar cara Lazara, Jovana Subotića, Zmaj Jovina, Njegoševa, Detelinara, Braće Janjić, Nikole Tesle, Petefi Šandora. On the way, you can see: Stari Grad, Museum of Vojvodina, City Hall.",30
Braće Ilić,Bus Line 14,5:25,"The bus passes through the streets: Stepanovići, Vladimira Perića, Aleksandra Vulina, Njegoševa, Telep, Maksima Gorkog. On the way, you can see: Stari Grad, Fish Market, Danube River.",47
Bulevar kralja Petra I,Bus Line 32,16:24,"The bus passes through the streets: Đure Đakovića, Petra Drapšina, Gogoljeva, Maksima Gorkog, Kraljice Marije, Detelinara, Jovana Cvijića, Braće Đukić. On the way, you can see: Danube Park, Petrovaradin Fortress, Danube River.",33
Partizanska,Bus Line 1,20:31,"The bus passes through the streets: Braće Krkljuš, Majke Jugovića, Braće Stefanović, Braće Ilić, Salajka, Maršala Tita, Svetosavska. On the way, you can see: Fruška Gora National Park, Serbian National Theatre, Petrovaradin Fortress, Strand Beach.",41
Radnički,Bus Line 1,17:19,"The bus passes through the streets: Sajlovo, Njegoševa, Svetozara Miletića, Vuka Karadžića, Bulevar Evrope. On the way, you can see: Stari Grad, Petrovaradin Fortress.",39
Omladinska,Bus Line 59,21:21,"The bus passes through the streets: Milutina Milankovića, Vojvode Mišića, Braće Ribnikar, Bulevar cara Lazara, Cara Dušana, Braće Grulović, Sajlovo, Kneza Pavla. On the way, you can see: Danube River, Žeželj Bridge.",21
Kneza Miloša,Bus Line 48,21:11,"The bus passes through the streets: Braće Ribnikar, Braće Čolaković, Jovana Dučića, Braće Popović, Somborska Rampa. On the way, you can see: Serbian National Theatre, University of Novi Sad, Žeželj Bridge, Fish Market.",47
Miletićeva,Bus Line 38,0:00,"The bus passes through the streets: Svetozara Miletića, Laze Telečkog, Banatić, Svetog Save, Cara Dušana, Novosadska 2. On the way, you can see: Museum of Vojvodina, Petrovaradin Fortress, Freedom Square.",21
Kisacka,Bus Line 48,18:34,"The bus passes through the streets: Podbara, Beogradska, Vuka Karadžića, Zlatiborska, Novosadska, Kralja Milana, Futoška, Maršala Tita. On the way, you can see: Žeželj Bridge, Limanski Park, Novi Sad Fair.",44
Aleksandra Vulina,Bus Line 34,17:12,"The bus passes through the streets: Petra Kočića, Aleksandra Vulina, Petefi Šandora, Bulevar kralja Aleksandra, Kralja Milana, Živojina Mišića. On the way, you can see: Liberty Square, Danube River.",53
Cara Dušana,Bus Line 4,15:24,"The bus passes through the streets: Braće Ribnikar, Futog, Kneza Višeslava, Njegoševa, Telep, Trg Republike, Laze Telečkog. On the way, you can see: Big Shopping Mall, Fish Market, Spens Sports Center.",31
Kneza Miloša,Bus Line 27,19:01,"The bus passes through the streets: Temerinska, Nova 2, Petra Kočića, Vuka Karadžića, Bulevar Slobodana Jovanovića. On the way, you can see: Žeželj Bridge, Limanski Park.",37
Milutina Milankovića,Bus Line 31,18:54,"The bus passes through the streets: Futoška, Futog, Kneza Višeslava, Žarka Zrenjanina, Braće Ribnikar, Vuka Karadžića, Jovana Subotića, Nova 1, Laze Kostića, Novosadska. On the way, you can see: Serbian National Theatre, Big Shopping Mall.",34
Bulevar kralja Petra I,Bus Line 62,20:31,"The bus passes through the streets: Živojina Mišića, Grbavica, Vojvode Putnika, Telep, Jovana Cvijića, Stevana Sremca, Narodnih Heroja. On the way, you can see: Svetozar Miletić Monument, University of Novi Sad, Fish Market, Limanski Park.",43
Svetog Save,Bus Line 35,9:39,"The bus passes through the streets: Pariske Komune, Sajlovo, Braće Brkić, Vojislava Ilića, Kneza Višeslava, Njegoševa, Zmaj Jovina. On the way, you can see: Cathedral of Saint George, Danube Park.",23
Nova 2,Bus Line 15,15:44,"The bus passes through the streets: Jevrejska, Bulevar cara Lazara, Nikole Tesle, Bulevar Slobodana Jovanovića, Braće Ribnikar, Somborska Rampa, Branka Radičevića, Gogoljeva, Kneza Mihaila, Dunavska. On the way, you can see: Novi Sad Synagogue, Liberty Square.",59
Petefi Šandora,Bus Line 98,4:07,"The bus passes through the streets: Pariske Komune, Partizanska, Futog, Laze Kostića, Kneza Miloša, Đure Đakovića, Zmaj Jovina, Miše Dimitrijevića, Braće Popović, Braće Dronjak. On the way, you can see: Danube Park, Petrovaradin Fortress.",41
Braće Jovanović,Bus Line 58,11:46,"The bus passes through the streets: Bulevar cara Lazara, Svetosavska, Kralja Milana, Limani, Kneza Mihaila, Zlatiborska, Bulevar Jaše Tomića. On the way, you can see: Svetozar Miletić Monument, Cathedral of Saint George, Danube Park.",20
Maksima Gorkog,Bus Line 63,0:57,"The bus passes through the streets: Vuka Karadžića, Vojvode Mišića, Braće Radić, Njegoševa, Đorđa Jovanovića, Maršala Tita, Braće Penić, Stevana Mokranjca, Sajlovo. On the way, you can see: Svetozar Miletić Monument, Big Shopping Mall, Petrovaradin Fortress, Žeželj Bridge.",36
Vojvode Mišića,Bus Line 82,2:02,"The bus passes through the streets: Aleksandra Vulina, Kraljice Marije, Vukašinovićeva, Carice Milice, Futoška, Milana Tepić. On the way, you can see: Stari Grad, Svetozar Miletić Monument, Limanski Park.",48
Lasla Gala,Bus Line 42,16:17,"The bus passes through the streets: Novosadska 1, Beogradska, Grbavica, Petefi Šandora, Miletićeva, Pariske Komune, Svetosavska. On the way, you can see: Strand Beach, Serbian National Theatre, Novi Sad Fair, Žeželj Bridge.",21
Slobodana Bajica,Bus Line 91,6:47,"The bus passes through the streets: Gogoljeva, Lasla Gala, Narodnog Fronta, Braće Čolaković, Vuka Karadžića, Stražilovska. On the way, you can see: City Hall, Novi Sad Fair, Limanski Park, Danube River.",56
Braće Jovanović,Bus Line 79,22:38,"The bus passes through the streets: Salajka, Milutina Milankovića, Braće Stefanović, Njegoševa, Zmaj Jovina, Braće Vujić. On the way, you can see: Matica Srpska Gallery, Liberty Square, Serbian National Theatre, Freedom Square.",47
Zmaj Jovina,Bus Line 77,19:01,"The bus passes through the streets: Novosadska 3, Svetosavska, Braće Krsmanović, Petefi Šandora, Vuka Karadžića, Vuka Karadžića, Milovana Glišića, Đorđa Jovanovića. On the way, you can see: Big Shopping Mall, Žeželj Bridge, Limanski Park.",41
Radnički,Bus Line 57,7:07,"The bus passes through the streets: Braće Jovanović, Braće Krsmanović, Partizanska, Vojislava Ilića, Stevana Sinđelića, Svetozara Miletića, Braće Kovač. On the way, you can see: Matica Srpska Gallery, Fish Market, Svetozar Miletić Monument.",59
Jug Bogdana,Bus Line 77,16:47,"The bus passes through the streets: Narodnih Heroja, Braće Čolaković, Kraljice Marije, Bulevar kralja Petra I, Partizanska, Vojvode Putnika, Nova 2, Stražilovska. On the way, you can see: Novi Sad Synagogue, Danube Park, Big Shopping Mall.",59
Sonje Marinković,Bus Line 46,13:49,"The bus passes through the streets: Vojvode Mišića, Milana Tepić, Petefi Šandora, Bulevar kralja Petra I, Stražilovska. On the way, you can see: Matica Srpska Gallery, Liberty Square, Petrovaradin Fortress, Fish Market.",34
Novosadska,Bus Line 13,11:31,"The bus passes through the streets: Vojislava Ilića, Podbara, Kneza Mihaila, Novosadska 3, Sajlovo, Narodnog Fronta, Bulevar Jaše Tomića. On the way, you can see: Liberty Square, Serbian National Theatre, Fruška Gora National Park, Big Shopping Mall.",43
Svetog Save,Bus Line 52,10:29,"The bus passes through the streets: Kraljice Marije, Cara Lazara, Grbavica, Nikole Tesle, Svetosavska, Stefana Dečanskog, Braće Krkljuš, Braće Stefanović. On the way, you can see: Serbian National Theatre, Stari Grad.",22
Veternik,Bus Line 64,13:49,"The bus passes through the streets: Braće Jerković, Braće Ribnikar, Bulevar cara Lazara, Karađorđeva, Vojvode Mišića, Maršala Tita, Braće Ilić, Svetozara Miletića. On the way, you can see: Svetozar Miletić Monument, Fruška Gora National Park, Matica Srpska Gallery.",23
Kralja Petra I,Bus Line 45,22:45,"The bus passes through the streets: Banatić, Stevana Sremca, Sonje Marinković, Vladimira Perića, Milovana Glišića, Feješ Klare, Stevana Sinđelića, Carice Milice. On the way, you can see: Matica Srpska Gallery, Limanski Park, Big Shopping Mall, Strand Beach.",37
Adice,Bus Line 51,21:43,"The bus passes through the streets: Stevana Mokranjca, Bulevar Slobodana Jovanovića, Kralja Milana, Kneza Lazara, Bulevar Jaše Tomića, Bulevar Mihajla Pupina. On the way, you can see: Cathedral of Saint George, Danube Park, Freedom Square.",56
Kralja Aleksandra,Bus Line 2,0:00,"The bus passes through the streets: Bulevar kralja Aleksandra, Vukašinovićeva, Jevrejska, Bulevar Oslobođenja, Braće Penić, Braće Ribnikar. On the way, you can see: Žeželj Bridge, Petrovaradin Fortress, Big Shopping Mall, Danube River.",59
Braće Grulović,Bus Line 71,0:00,"The bus passes through the streets: Podbara, Salajka, Svetosavska, Svetosavska, Kneza Mihaila, Detelinara, Bulevar Slobodana Jovanovića, Milutina Milankovića, Kneza Miloša. On the way, you can see: Fish Market, Danube River, Limanski Park.",42
Miloša Obilića,Bus Line 68,0:57,"The bus passes through the streets: Bulevar Jaše Tomića, Svetosavska, Vladimira Perića, Kisacka, Đure Đakovića, Braće Radić, Nikole Tesle, Bulevar kralja Petra I, Kneza Mihailova. On the way, you can see: Petrovaradin Fortress, Svetozar Miletić Monument, Novi Sad Synagogue, Big Shopping Mall.",49
Đorđa Jovanovića,Bus Line 74,7:54,"The bus passes through the streets: Kneza Pavla, Braće Novaković, Pariske Komune, Novosadska 3, Miloša Obilića, Vojislava Ilića. On the way, you can see: Limanski Park, Svetozar Miletić Monument, Museum of Vojvodina, Matica Srpska Gallery.",49
Stepanovići,Bus Line 6,0:42,"The bus passes through the streets: Braće Ribnikar, Braće Penić, Podbara, Nikole Tesle, Karađorđeva, Trg Slobode, Radnički. On the way, you can see: Serbian National Theatre, Danube River.",25
Kneza Mihaila,Bus Line 48,4:25,"The bus passes through the streets: Narodnog Fronta, Milovana Glišića, Futog, Detelinara, Kneza Mihailova. On the way, you can see: Stari Grad, Limanski Park, City Hall, Petrovaradin Fortress.",28
Braće Vujić,Bus Line 56,0:42,"The bus passes through the streets: Braće Radić, Grbavica, Majke Jugovića, Petefi Šandora, Braće Krkljuš, Stepanovići, Vladimira Perića, Bulevar kralja Aleksandra, Stefana Dečanskog, Stražilovska. On the way, you can see: Spens Sports Center, Liberty Square, Stari Grad, Matica Srpska Gallery.",27
Zlatiborska,Bus Line 12,14:29,"The bus passes through the streets: Laze Kostića, Zmaj Jovina, Stevana Mokranjca, Beogradska, Vuka Karadžića, Nikole Tesle, Kralja Aleksandra I Karađorđevića, Dunavska. On the way, you can see: Fruška Gora National Park, Novi Sad Synagogue, Museum of Vojvodina.",20
Živojina Mišića,Bus Line 100,8:44,"The bus passes through the streets: Stevana Sremca, Braće Čolaković, Kralja Aleksandra I Karađorđevića, Maršala Tita, Feješ Klare, Miše Dimitrijevića, Majke Jugovića, Braće Popović, Slobodana Bajica. On the way, you can see: Petrovaradin Fortress, Novi Sad Fair, Fruška Gora National Park, Spens Sports Center.",21
Stevana Sremca,Bus Line 51,21:21,"The bus passes through the streets: Beogradska, Bulevar Jaše Tomića, Braće Jerković, Mihajla Pupina, Milana Tepić, Branka Radičevića. On the way, you can see: Danube Park, Limanski Park, Novi Sad Fair, Strand Beach.",58
Žarka Zrenjanina,Bus Line 29,9:54,"The bus passes through the streets: Vukašinovićeva, Novosadska 2, Sajlovo, Vuka Karadžića, Narodnog Fronta, Trg Slobode, Vladimira Perića, Adice, Jug Bogdana. On the way, you can see: Matica Srpska Gallery, Liberty Square.",21
Braće Novaković,Bus Line 91,2:10,"The bus passes through the streets: Zmaj Jovina, Bulevar Slobodana Jovanovića, Cara Lazara, Grbavica, Feješ Klare, Kneza Mihaila, Kneza Pavla, Veternik, Braće Novaković, Novosadska 2. On the way, you can see: Freedom Square, Fruška Gora National Park.",35
Vladimira Perića,Bus Line 90,7:47,"The bus passes through the streets: Majke Jugovića, Žarka Zrenjanina, Kneza Pavla, Jovana Dučića, Sajlovo, Cara Lazara. On the way, you can see: Big Shopping Mall, Strand Beach.",51
Novosadska 1,Bus Line 53,14:49,"The bus passes through the streets: Somborska Rampa, Zmaj Jovina, Kisacka, Vuka Karadžića, Đure Đakovića. On the way, you can see: Danube Park, Museum of Vojvodina, Big Shopping Mall, Cathedral of Saint George.",51
Stefana Dečanskog,Bus Line 43,4:45,"The bus passes through the streets: Nikole Tesle, Laze Kostića, Vukašinovićeva, Jovana Cvijića, Braće Ilić, Žarka Zrenjanina, Aleksandra Vulina, Adice, Stevana Mokranjca. On the way, you can see: City Hall, Matica Srpska Gallery.",31
Jevrejska,Bus Line 64,14:29,"The bus passes through the streets: Kneza Pavla, Braće Krkljuš, Bulevar Oslobođenja, Braće Janjić, Miloša Obilića, Omladinska, Vladimira Perića, Novosadska 2. On the way, you can see: Big Shopping Mall, Žeželj Bridge.",33
Braće Dronjak,Bus Line 41,21:36,"The bus passes through the streets: Maršala Tita, Sonje Marinković, Đorđa Jovanovića, Vuka Karadžića, Braće Novaković, Kneza Višeslava, Petra Drapšina, Kraljice Marije. On the way, you can see: Stari Grad, University of Novi Sad, Danube River.",25
Petra Drapšina,Bus Line 56,12:01,"The bus passes through the streets: Kralja Aleksandra, Zmaj Jovina, Narodnog Fronta, Braće Jovanović, Kneza Pavla, Miše Dimitrijevića, Vojvode Mišića, Veternik. On the way, you can see: University of Novi Sad, Svetozar Miletić Monument.",54
Novosadska,Bus Line 55,9:54,"The bus passes through the streets: Braće Ribnikar, Feješ Klare, Klisa, Bulevar Patrijarha Pavla, Narodnog Fronta, Somborska Rampa. On the way, you can see: Spens Sports Center, Cathedral of Saint George, City Hall, Novi Sad Fair.",32
Vojvode Mišića,Bus Line 67,19:36,"The bus passes through the streets: Narodnog Fronta, Beogradska, Milovana Glišića, Dositejeva, Zmaj Jovina. On the way, you can see: Novi Sad Fair, Spens Sports Center, Limanski Park.",37
Miše Dimitrijevića,Bus Line 89,17:07,"The bus passes through the streets: Petra Kočića, Braće Stefanović, Braće Janjić, Limani, Zmaj Jovina, Cara Lazara, Braće Jerković. On the way, you can see: Novi Sad Synagogue, Spens Sports Center, Danube Park, Limanski Park.",30
Železnička,Bus Line 60,7:54,"The bus passes through the streets: Trg Republike, Nikole Tesle, Zmaj Jovina, Jevrejska, Radnički. On the way, you can see: University of Novi Sad, Petrovaradin Fortress.",54
Nova 2,Bus Line 72,7:17,"The bus passes through the streets: Braće Ilić, Limani, Dositejeva, Trg Slobode, Braće Kovač, Braće Milić, Adice, Zmaj Jovina. On the way, you can see: Fruška Gora National Park, University of Novi Sad, Novi Sad Fair, Danube Park.",28
Partizanska,Bus Line 85,7:32,"The bus passes through the streets: Kneza Mihaila, Stražilovska, Milana Tepić, Braće Novaković, Omladinska. On the way, you can see: Liberty Square, Freedom Square.",39
Kisacka,Bus Line 48,0:57,"The bus passes through the streets: Braće Kovač, Pariske Komune, Mihajla Pupina, Partizanska, Vladimira Perića. On the way, you can see: Fruška Gora National Park, University of Novi Sad, Limanski Park.",49
Feješ Klare,Bus Line 52,19:01,"The bus passes through the streets: Pariske Komune, Balzakova, Klisa, Jovana Cvijića, Milovana Glišića, Omladinska, Nova 2. On the way, you can see: Stari Grad, Liberty Square, Freedom Square, Žeželj Bridge.",31
Futog,Bus Line 12,20:16,"The bus passes through the streets: Adice, Braće Janjić, Milovana Glišića, Futog, Mihajla Pupina, Stefana Dečanskog, Podbara. On the way, you can see: Limanski Park, Žeželj Bridge.",44
Milana Tepić,Bus Line 41,19:01,"The bus passes through the streets: Laze Kostića, Bulevar Evrope, Braće Grulović, Braće Ribnikar, Jovana Cvijića, Carice Milice, Salajka, Kisacka, Laze Telečkog. On the way, you can see: Liberty Square, Danube River, Svetozar Miletić Monument.",31
Narodnog Fronta,Bus Line 37,12:01,"The bus passes through the streets: Sajlovo, Petra Drapšina, Svetosavska, Kneza Višeslava, Laze Telečkog, Majke Jugovića. On the way, you can see: Novi Sad Synagogue, Serbian National Theatre, Stari Grad.",46
Majke Jugovića,Bus Line 1,0:00,"The bus passes through the streets: Narodnih Heroja, Sajlovo, Novosadska 1, Kralja Aleksandra I Karađorđevića, Zmaj Jovina, Braće Ribnikar. On the way, you can see: Stari Grad, Cathedral of Saint George, Big Shopping Mall.",23
Adice,Bus Line 60,15:44,"The bus passes through the streets: Kralja Milana, Zmaj Jovina, Adice, Cara Dušana, Bulevar kralja Petra I, Đorđa Jovanovića, Žarka Zrenjanina, Vukašinovićeva, Beogradska, Balzakova. On the way, you can see: Big Shopping Mall, Liberty Square, Serbian National Theatre.",26
Grbavica,Bus Line 32,13:09,"The bus passes through the streets: Vukašinovićeva, Miloša Obilića, Jovana Cvijića, Telep, Braće Krsmanović, Trg Republike, Somborska Rampa, Braće Ribnikar. On the way, you can see: Matica Srpska Gallery, Fish Market, Danube River, Freedom Square.",32
Stepanovići,Bus Line 95,7:07,"The bus passes through the streets: Bulevar Mihajla Pupina, Braće Grulović, Slobodana Bajica, Kneza Miloša, Pavla Papa. On the way, you can see: Novi Sad Synagogue, Liberty Square, Novi Sad Fair, Big Shopping Mall.",37
Limani,Bus Line 6,23:00,"The bus passes through the streets: Klisa, Kneza Mihailova, Đure Đakovića, Svetosavska, Detelinara, Slobodana Bajica. On the way, you can see: City Hall, Fruška Gora National Park, Museum of Vojvodina, Stari Grad.",42
Braće Dronjak,Bus Line 95,9:04,"The bus passes through the streets: Petefi Šandora, Zlatiborska, Stefana Dečanskog, Narodnog Fronta, Partizanska, Petra Kočića, Njegoševa, Vukašinovićeva, Jovana Cvijića. On the way, you can see: Novi Sad Synagogue, Fruška Gora National Park.",36
Zlatiborska,Bus Line 68,8:44,"The bus passes through the streets: Braće Krsmanović, Jevrejska, Braće Jerković, Braće Novaković, Svetog Save, Majke Jugovića, Jevrejska, Braće Krkljuš. On the way, you can see: Liberty Square, Novi Sad Fair, Matica Srpska Gallery.",51
Stevana Mokranjca,Bus Line 44,21:43,"The bus passes through the streets: Novosadska 1, Kralja Petra I, Kralja Aleksandra I Karađorđevića, Zlatiborska, Miše Dimitrijevića, Kralja Milana, Braće Ribnikar, Kraljice Marije. On the way, you can see: Žeželj Bridge, Serbian National Theatre, Limanski Park.",30
Futoška,Bus Line 26,17:19,"The bus passes through the streets: Somborska Rampa, Stevana Sinđelića, Dositejeva, Trg Republike, Majke Jugovića, Braće Krkljuš, Kneza Pavla, Stefana Dečanskog, Braće Ilić. On the way, you can see: Freedom Square, Žeželj Bridge, Petrovaradin Fortress, Spens Sports Center.",41
Bulevar Mihajla Pupina,Bus Line 70,9:44,"The bus passes through the streets: Braće Stefanović, Nikole Tesle, Stevana Sremca, Omladinska, Jovana Subotića. On the way, you can see: Danube River, Serbian National Theatre, Novi Sad Synagogue, Cathedral of Saint George.",46
Novosadska 3,Bus Line 98,19:36,"The bus passes through the streets: Podbara, Feješ Klare, Banatić, Petefi Šandora, Milovana Glišića, Đorđa Jovanovića. On the way, you can see: Liberty Square, City Hall, Stari Grad, Serbian National Theatre.",55
Klisa,Bus Line 64,21:21,"The bus passes through the streets: Stefana Dečanskog, Zmaj Jovina, Karađorđeva, Sajlovo, Braće Krsmanović, Kneza Mihaila, Novosadska, Kisacka, Narodnog Fronta. On the way, you can see: Žeželj Bridge, Limanski Park, Novi Sad Fair.",33
Njegoševa,Bus Line 99,19:01,"The bus passes through the streets: Carice Milice, Bulevar kralja Petra I, Žarka Zrenjanina, Somborska Rampa, Bulevar Jaše Tomića, Njegoševa. On the way, you can see: Petrovaradin Fortress, Novi Sad Synagogue, Strand Beach.",23
Kneza Pavla,Bus Line 88,21:43,"The bus passes through the streets: Nova 2, Stevana Sinđelića, Svetosavska, Kraljice Marije, Kneza Lazara, Đorđa Jovanovića. On the way, you can see: Limanski Park, Serbian National Theatre.",46
Gogoljeva,Bus Line 52,9:39,"The bus passes through the streets: Nikole Tesle, Braće Krkljuš, Braće Dronjak, Jevrejska, Braće Stefanović, Braće Đukić, Grbavica, Nikole Tesle. On the way, you can see: Novi Sad Fair, Fish Market, Stari Grad.",47
Braće Ilić,Bus Line 93,16:47,"The bus passes through the streets: Trg Slobode, Zmaj Jovina, Vojvode Putnika, Braće Ribnikar, Pariske Komune, Braće Ribnikar, Cara Dušana. On the way, you can see: City Hall, Novi Sad Synagogue, Svetozar Miletić Monument.",23
Đure Đakovića,Bus Line 33,6:05,"The bus passes through the streets: Novosadska 3, Mihajla Pupina, Svetosavska, Nikole Tesle, Sajlovo, Vladimira Perića, Novosadska, Vojvode Mišića. On the way, you can see: Danube Park, Fruška Gora National Park.",23
Gogoljeva,Bus Line 60,3:37,"The bus passes through the streets: Nova 2, Grbavica, Klisa, Dositejeva, Kneza Miloša, Partizanska, Detelinara, Laze Telečkog, Braće Kovač. On the way, you can see: Danube Park, Freedom Square, Žeželj Bridge.",45
Futoška,Bus Line 18,4:45,"The bus passes through the streets: Braće Đukić, Zmaj Jovina, Dositejeva, Svetozara Miletića, Braće Dronjak, Bulevar kralja Aleksandra, Njegoševa, Braće Brkić, Bulevar Patrijarha Pavla. On the way, you can see: Žeželj Bridge, Liberty Square, Museum of Vojvodina.",45
Telep,Bus Line 48,17:19,"The bus passes through the streets: Zmaj Jovina, Futog, Jovana Cvijića, Svetozara Miletića, Braće Penić, Trg Republike. On the way, you can see: Big Shopping Mall, Matica Srpska Gallery.",26
Miloša Obilića,Bus Line 51,6:12,"The bus passes through the streets: Đorđa Jovanovića, Beogradska, Kneza Višeslava, Narodnog Fronta, Cara Lazara. On the way, you can see: Serbian National Theatre, Stari Grad, Liberty Square.",43
Vojvode Putnika,Bus Line 18,16:24,"The bus passes through the streets: Svetog Save, Braće Jovanović, Stražilovska, Braće Krsmanović, Stevana Mokranjca, Stepanovići, Banatić, Braće Đukić, Đorđa Jovanovića. On the way, you can see: Spens Sports Center, Danube Park.",47
Bulevar cara Lazara,Bus Line 90,8:44,"The bus passes through the streets: Maršala Tita, Dositejeva, Svetosavska, Futoška, Vojvode Mišića, Braće Vujić, Jovana Dučića, Đorđa Jovanovića, Braće Ribnikar. On the way, you can see: Matica Srpska Gallery, Stari Grad, University of Novi Sad.",38
Beogradska,Bus Line 36,0:00,"The bus passes through the streets: Kralja Aleksandra I Karađorđevića, Petra Kočića, Milovana Glišića, Braće Jovanović, Braće Ribnikar, Bulevar Jaše Tomića, Braće Ribnikar, Bulevar Slobodana Jovanovića, Dositejeva. On the way, you can see: Fish Market, Danube Park, Petrovaradin Fortress, University of Novi Sad.",59
Petra Kočića,Bus Line 9,13:09,"The bus passes through the streets: Jug Bogdana, Milutina Milankovića, Žarka Zrenjanina, Braće Krsmanović, Laze Kostića, Nikole Tesle, Jevrejska. On the way, you can see: Fruška Gora National Park, Museum of Vojvodina, Petrovaradin Fortress.",26
Nikole Tesle,Bus Line 13,3:37,"The bus passes through the streets: Braće Janjić, Kneza Mihailova, Partizanska, Stevana Sinđelića, Nikole Tesle, Laze Telečkog, Telep. On the way, you can see: Fish Market, Museum of Vojvodina.",45
Veternik,Bus Line 23,14:49,"The bus passes through the streets: Futog, Maksima Gorkog, Vojvode Mišića, Jevrejska, Feješ Klare, Železnička, Vojvode Putnika, Bulevar Jaše Tomića, Đure Đakovića. On the way, you can see: Freedom Square, Žeželj Bridge, Spens Sports Center, Strand Beach.",46
Svetosavska,Bus Line 21,6:12,"The bus passes through the streets: Limani, Braće Đukić, Dositejeva, Futog, Braće Brkić, Zmaj Jovina, Grbavica, Partizanska, Novosadska 2, Maksima Gorkog. On the way, you can see: Matica Srpska Gallery, Fish Market.",51
Vuka Karadžića,Bus Line 25,17:54,"The bus passes through the streets: Braće Krkljuš, Dunavska, Miletićeva, Nikole Tesle, Mihajla Pupina, Slobodana Bajica, Stepanovići, Braće Ribnikar. On the way, you can see: Novi Sad Synagogue, Žeželj Bridge.",33
Vojvode Putnika,Bus Line 17,20:31,"The bus passes through the streets: Telep, Dunavska, Jovana Dučića, Stevana Sremca, Branka Radičevića, Braće Čolaković, Pavla Papa, Njegoševa, Živojina Mišića. On the way, you can see: Freedom Square, Fruška Gora National Park.",23
Kralja Petra I,Bus Line 62,12:14,"The bus passes through the streets: Miše Dimitrijevića, Sonje Marinković, Trg Slobode, Kisacka, Milana Tepić, Nikole Tesle, Balzakova, Njegoševa. On the way, you can see: Big Shopping Mall, Limanski Park.",54
